Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-01-01 00:00:00;317;-1715;-6548;31;-950;2990;3837;0;
2016-01-01 08:00:00;67336;-1096;54833;987;141456;5189;87598;0;
2016-01-01 16:00:00;0;-1796;-4784;0;-1440;2464;2378;0;
2016-01-02 00:00:00;12;-1417;-4701;6;-1160;2334;2473;0;
2016-01-02 08:00:00;0;0;0;0;0;0;0;0;
2016-01-02 16:00:00;0;0;0;0;0;0;0;0;
2016-01-03 00:00:00;0;0;0;0;0;0;0;0;
2016-01-03 08:00:00;0;0;0;0;0;0;0;0;
2016-01-03 16:00:00;0;0;0;0;0;0;0;0;
2016-01-04 00:00:00;0;0;0;0;0;0;0;0;
2016-01-04 08:00:00;0;0;0;0;0;0;0;0;
2016-01-04 16:00:00;0;0;0;0;0;0;0;0;
2016-01-05 00:00:00;0;0;0;0;0;0;0;0;
2016-01-05 08:00:00;0;0;0;0;0;0;0;0;
2016-01-05 16:00:00;0;0;0;0;0;0;0;0;
2016-01-06 00:00:00;0;0;0;0;0;0;0;0;
2016-01-06 08:00:00;0;0;0;0;0;0;0;0;
2016-01-06 16:00:00;0;0;0;0;0;0;0;0;
2016-01-07 00:00:00;0;0;0;0;0;0;0;0;
2016-01-07 08:00:00;0;0;0;0;0;0;0;0;
2016-01-07 16:00:00;0;0;0;0;0;0;0;0;
2016-01-08 00:00:00;0;-16;-207;15;6;83;623;0;
2016-01-08 08:00:00;870;-772;-4477;1189;116521;3740;120846;0;
2016-01-08 16:00:00;0;-1646;-3452;0;-480;2178;1341;0;
2016-01-09 00:00:00;0;-1565;-5400;44;-471;2872;3306;0;
2016-01-09 08:00:00;3414;-688;-8806;1219;8794;4592;71913;0;
2016-01-09 16:00:00;0;-1596;-5190;0;-480;2470;2718;0;
2016-01-10 00:00:00;0;-1547;-6607;44;193;2862;5115;0;
2016-01-10 08:00:00;9335;-858;10294;1772;214370;4370;162028;0;
2016-01-10 16:00:00;0;-1604;-3290;0;-480;2243;1053;0;
2016-01-11 00:00:00;0;-1540;-4817;36;-538;2730;2199;0;
2016-01-11 08:00:00;9576;-753;-2403;1815;24208;4743;103396;0;
2016-01-11 16:00:00;0;-1811;-5295;0;-768;2638;2610;0;
2016-01-12 00:00:00;0;-1739;-6479;19;-714;3062;3417;0;
2016-01-12 08:00:00;390;-995;-10630;572;9848;5443;29512;0;
2016-01-12 16:00:00;0;-1795;-4337;0;-758;2701;1604;0;
2016-01-13 00:00:00;0;-1746;-5260;0;-682;2913;2335;0;
2016-01-13 08:00:00;896;-772;-13566;500;17783;5026;40526;0;
2016-01-13 16:00:00;0;-1753;-4169;0;-722;2444;1696;0;
2016-01-14 00:00:00;0;-1715;-5969;11;-704;3117;3515;0;
2016-01-14 08:00:00;1269;-807;-7477;1339;71937;4739;191928;0;
2016-01-14 16:00:00;0;-1741;-3630;0;-804;2356;1250;0;
2016-01-15 00:00:00;0;-1641;-4911;24;-655;2713;2154;0;
2016-01-15 08:00:00;419;-931;-8434;998;67729;4455;174247;0;
2016-01-15 16:00:00;0;-1738;-4962;0;-768;2219;2741;0;
2016-01-16 00:00:00;0;-1720;-6851;22;-654;2788;5502;0;
2016-01-16 08:00:00;349;-916;-8915;1149;28539;4844;194436;0;
2016-01-16 16:00:00;0;-1722;-4339;0;-955;2194;2143;0;
2016-01-17 00:00:00;0;-1685;-6530;17;-853;2821;4893;0;
2016-01-17 08:00:00;228;-1012;-8940;1058;-710;4714;211249;0;
2016-01-17 16:00:00;0;-1713;-3589;0;-480;2167;1432;0;
2016-01-18 00:00:00;0;-1651;-4751;0;-380;2511;2747;0;
2016-01-18 08:00:00;122;-1014;3061;665;65759;365827;205743;0;
2016-01-18 16:00:00;0;-1719;-4144;0;-958;1687;2392;0;
2016-01-19 00:00:00;0;-1684;-5768;15;-859;5120;5113;0;
2016-01-19 08:00:00;111;-1192;-6920;581;-795;108830;101560;0;
2016-01-19 16:00:00;0;-1724;-3069;0;-480;1439;1642;0;
2016-01-20 00:00:00;0;-1687;-4320;0;-437;1772;2505;0;
2016-01-20 08:00:00;190;-980;14202;989;46744;829455;240218;0;
2016-01-20 16:00:00;0;-1721;-2804;0;-960;709;2120;0;
2016-01-21 00:00:00;0;-1678;-5286;26;-840;8824;5815;0;
2016-01-21 08:00:00;158;-1027;20801;1012;33975;1199450;194510;0;
2016-01-21 16:00:00;0;-1711;-2897;0;-480;480;2359;0;
2016-01-22 00:00:00;0;-1714;-4409;0;-218;958;3394;0;
2016-01-22 08:00:00;20;-1223;26064;544;57720;1524245;279174;0;
2016-01-22 16:00:00;0;-1721;-3266;0;-960;875;2397;0;
2016-01-23 00:00:00;0;-1673;-5713;29;-840;7322;7825;0;
2016-01-23 08:00:00;515;-916;-1932;779;1225;160258;142906;0;
2016-01-23 16:00:00;0;-1689;-3442;0;-480;1396;2024;0;
2016-01-24 00:00:00;0;-1665;-6553;11;-425;5653;6723;0;
2016-01-24 08:00:00;239;-1047;-4199;606;-618;129584;128735;0;
2016-01-24 16:00:00;0;-1668;-4325;0;-480;1823;2501;0;
2016-01-25 00:00:00;0;-1678;-6095;0;-460;2460;3644;0;
2016-01-25 08:00:00;66;-1289;-9081;364;-436;86213;87407;0;
2016-01-25 16:00:00;0;-1603;-4621;0;-480;2028;2606;0;
2016-01-26 00:00:00;0;-1612;-6364;0;-480;2702;3697;0;
2016-01-26 08:00:00;0;-1500;-11091;37;-314;67521;70667;0;
2016-01-26 16:00:00;0;-1628;-5352;0;-480;2171;3214;0;
2016-01-27 00:00:00;0;-1674;-7575;0;-191;3059;4522;0;
2016-01-27 08:00:00;0;-1360;-9302;1706;38980;88114;92178;0;
2016-01-27 16:00:00;0;-1699;-4699;0;-957;1974;2724;0;
2016-01-28 00:00:00;0;-1614;-6865;107;160;5778;6408;0;
2016-01-28 08:00:00;0;-883;-10892;1093;24068;52191;54545;0;
2016-01-28 16:00:00;0;-1695;-4144;0;-480;2332;1794;0;
2016-01-29 00:00:00;0;-1528;-5961;214;9389;30684;11913;0;
2016-01-29 08:00:00;237;-543;31340;3660;451605;1270554;382601;0;
2016-01-29 16:00:00;0;-1725;-5066;0;-816;2628;2449;0;
2016-01-30 00:00:00;0;-1399;-5632;309;14131;39660;13195;0;
2016-01-30 08:00:00;5092;-407;34242;6425;325896;1123593;293700;0;
2016-01-30 16:00:00;0;-1782;-6916;0;-479;4021;2912;0;
2016-01-31 00:00:00;104;-1452;-7831;162;1544;10205;9203;0;
2016-01-31 08:00:00;2851;-348;3378;1874;45484;107503;88659;0;
2016-01-31 16:00:00;0;-1699;-4483;0;-480;2375;2128;0;
2016-02-01 00:00:00;154;-1319;-4392;423;12421;49000;15154;0;
2016-02-01 08:00:00;18284;-106;94214;3039;655139;2074706;445264;0;
2016-02-01 16:00:00;0;-1818;-2604;0;-960;618;2025;0;
2016-02-02 00:00:00;0;-1681;-4988;0;-842;2233;4210;0;
2016-02-02 08:00:00;0;-564;-2331;1854;42036;122951;130622;0;
2016-02-02 16:00:00;0;-1852;-3043;0;-1017;975;2072;0;
2016-02-03 00:00:00;0;-1539;-4752;353;1927;24690;15517;0;
2016-02-03 08:00:00;3;-485;8147;5154;55276;340787;216204;0;
2016-02-03 16:00:00;0;-1679;-6913;0;-1413;3567;3349;0;
2016-02-04 00:00:00;0;-1482;-8587;240;460;13607;13747;0;
2016-02-04 08:00:00;150;-521;13157;5969;141411;426876;285905;0;
2016-02-04 16:00:00;0;-1699;-4249;0;-1021;1425;2850;0;
2016-02-05 00:00:00;0;-1569;-7897;189;-827;10718;12760;0;
2016-02-05 08:00:00;86;-337;4331;4090;54306;297579;216031;0;
2016-02-05 16:00:00;0;-948;-6694;0;-772;3894;2822;0;
2016-02-06 00:00:00;0;-828;-8794;249;1879;13937;14238;0;
2016-02-06 08:00:00;2;-270;7120;4707;70828;273722;250688;0;
2016-02-06 16:00:00;0;-942;-7880;0;-480;4531;3308;0;
2016-02-07 00:00:00;0;-816;-9651;197;2531;12019;12413;0;
2016-02-07 08:00:00;0;-232;-5692;1576;41367;75014;85019;0;
2016-02-07 16:00:00;0;-946;-7439;0;-480;4188;3278;0;
2016-02-08 00:00:00;0;-722;-9126;119;1059;6338;6118;0;
2016-02-08 08:00:00;5;-392;-3887;716;11528;27820;30131;0;
2016-02-08 16:00:00;0;-1138;-7182;0;-821;4317;2828;0;
2016-02-09 00:00:00;0;-911;-9364;29;-712;5122;4240;0;
2016-02-09 08:00:00;134;1816;8093;828;13607;34006;37266;0;
2016-02-09 16:00:00;0;-1111;-7870;0;-480;4341;3516;0;
2016-02-10 00:00:00;25699;7778;61853;551;11652;28747;26338;0;
2016-02-10 08:00:00;231784;42561;368510;2436;66647;107580;117787;0;
2016-02-10 16:00:00;0;-532;-5763;0;-954;3599;2187;0;
2016-02-11 00:00:00;14274;-469;-812;33;-606;4424;4064;0;
2016-02-11 08:00:00;324960;9625;150760;705;14312;21243;28034;0;
2016-02-11 16:00:00;0;-960;-5963;0;-959;3596;2368;0;
2016-02-12 00:00:00;80;-845;-7743;6;-813;5054;4602;0;
2016-02-12 08:00:00;3462;-393;-6204;492;-504;45473;53723;0;
2016-02-12 16:00:00;0;-960;-6558;0;-956;3192;3339;0;
2016-02-13 00:00:00;0;-854;-8743;70;239;8897;10342;0;
2016-02-13 08:00:00;89;-223;-1528;2415;60694;111597;125234;0;
2016-02-13 16:00:00;0;-960;-7155;0;-480;3442;3709;0;
2016-02-14 00:00:00;0;-805;-8273;13;-477;11953;15052;0;
2016-02-14 08:00:00;0;-306;2178;2954;28790;185098;208374;0;
2016-02-14 16:00:00;0;-960;-6121;0;-480;3473;2641;0;
2016-02-15 00:00:00;0;-940;-8682;75;-392;27470;28800;0;
2016-02-15 08:00:00;0;-500;10953;4597;31580;443488;367801;0;
2016-02-15 16:00:00;0;-960;-5206;0;-480;2123;3069;0;
2016-02-16 00:00:00;0;-941;-4423;482;108224;193968;34644;0;
2016-02-16 08:00:00;792;-495;83888;13150;1141444;3725876;1083013;0;
2016-02-16 16:00:00;0;-960;-3826;0;-1440;1153;2657;0;
2016-02-17 00:00:00;0;-883;-4284;1068;18665;68463;50458;0;
2016-02-17 08:00:00;453;-393;33946;11195;415511;1443210;467074;0;
2016-02-17 16:00:00;0;-960;-5287;0;-1010;2343;2969;0;
2016-02-18 00:00:00;0;-874;-4310;1161;30247;89921;57888;0;
2016-02-18 08:00:00;377;-399;42919;16376;549251;1578695;711669;0;
2016-02-18 16:00:00;0;-960;-3959;0;-1008;855;3078;0;
2016-02-19 00:00:00;0;-960;-6296;45;429;33230;37546;0;
2016-02-19 08:00:00;0;-949;-6866;1950;31170;133429;146833;0;
2016-02-19 16:00:00;0;-960;-4254;0;-1440;1006;3237;0;
2016-02-20 00:00:00;0;-959;-5818;56;-1189;38141;41699;0;
2016-02-20 08:00:00;0;-956;-2326;1892;-264;222719;246138;0;
2016-02-20 16:00:00;0;-960;-2576;0;-1440;630;1893;0;
2016-02-21 00:00:00;0;-959;-5446;0;-1187;16534;18072;0;
2016-02-21 08:00:00;0;-820;935;1123;-381;283938;290622;0;
2016-02-21 16:00:00;0;-960;-2458;0;-1440;520;1907;0;
2016-02-22 00:00:00;0;-960;-6186;13;-1228;10637;12189;0;
2016-02-22 08:00:00;0;-946;-2935;723;-375;242790;228661;0;
2016-02-22 16:00:00;0;-960;-3323;0;-1440;622;2687;0;
2016-02-23 00:00:00;0;-960;-5063;119;-1192;43445;46460;0;
2016-02-23 08:00:00;0;-879;4397;1504;-478;379872;376279;0;
2016-02-23 16:00:00;0;-960;-3610;0;-1440;576;2933;0;
2016-02-24 00:00:00;0;-960;-4683;263;-1118;66431;60698;0;
2016-02-24 08:00:00;0;-744;21059;9822;112340;786661;607338;0;
2016-02-24 16:00:00;0;-960;-6527;0;-1440;3351;3202;0;
